Foi removido o Aventureiro com id : 4e com o nome : antonio, na data de: 28/04/2021 08:49:37
Foi removido o Aventureiro com id : 19 e com o nome : fabio, na data de: 20/5/2021
Foi removido o Aventureiro com id : 21 e com o nome : fabio, na data de: 20/5/2021
Foi removido o Aventureiro com id : 20 e com o nome : fabio, na data de: 20/5/2021
Foi removido o Aventureiro com id : 22 e com o nome : fabio, na data de: 20/5/2021
<<<<<<< HEAD
Foi removido o Aventureiro com id : 13 e com o nome : ana, na data de: 20/5/2021
=======
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 2, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 2, na data de: 20/5/2021
Removeu a cache com o ID 3, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Removeu a cache com o ID 1, na data de: 20/5/2021
Foi removido o Aventureiro com id : 19 e com o nome : qewewq, na data de: 20/5/2021
Foi removido o Aventureiro com id : 19 e com o nome : dsq, na data de: 20/5/2021
Foi removido o Aventureiro com id : 17 e com o nome : fabio, na data de: 20/5/2021
>>>>>>> 2bd06e208240f1d7d78f45333687f948dae9ad41
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 5, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Foi removido o Aventureiro com id : 18 e com o nome : fabio, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Foi removido o Aventureiro com id : 1 e com o nome : jonas, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Foi removido o Aventureiro com id : 1 e com o nome : jonas, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 6, na data de: 21/5/2021
Foi removido o Aventureiro com id : 1 e com o nome : jonas, na data de: 21/5/2021
Removeu a cache com o ID 1, na data de: 21/5/2021
Removeu a cache com o ID 6, na data de: 21/5/2021
Foi removido o Aventureiro com id : 2 e com o nome : fabio, na data de: 29/5/2021
Foi removido o Aventureiro com id : 2 e com o nome : fabio, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
Removeu a cache com o ID 7, na data de: 29/5/2021
Removeu a cache com o ID 8, na data de: 29/5/2021
Foi removido o Aventureiro com id : 2 e com o nome : fabio, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
Removeu a cache com o ID 7, na data de: 29/5/2021
Foi removido o Aventureiro com id : 2 e com o nome : fabio, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
Removeu a cache com o ID 7, na data de: 29/5/2021
Removeu a cache com o ID 3, na data de: 29/5/2021
Foi removido o Aventureiro com id : 3 e com o nome : Ricardo, na data de: 29/5/2021
Removeu a cache com o ID 3, na data de: 29/5/2021
Removeu a cache com o ID 8, na data de: 29/5/2021
Foi removido o Aventureiro com id : 2 e com o nome : fabio, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
Foi removido o Aventureiro com id : 2 e com o nome : fabio, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
Removeu a cache com o ID 7, na data de: 29/5/2021
Foi removido o Aventureiro com id : 3 e com o nome : Ricardo, na data de: 29/5/2021
Removeu a cache com o ID 3, na data de: 29/5/2021
Removeu a cache com o ID 8, na data de: 29/5/2021
Foi removido o Aventureiro com id : 1 e com o nome : jonas, na data de: 29/5/2021
Removeu a cache com o ID 1, na data de: 29/5/2021
Removeu a cache com o ID 6, na data de: 29/5/2021
Foi removido o Aventureiro com id : 2 e com o nome : fabio, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
Removeu a cache com o ID 7, na data de: 29/5/2021
Foi removido o Aventureiro com id : 3 e com o nome : Ricardo, na data de: 29/5/2021
Removeu a cache com o ID 3, na data de: 29/5/2021
Removeu a cache com o ID 8, na data de: 29/5/2021
Foi removido o Aventureiro com id : 4 e com o nome : kinito, na data de: 29/5/2021
Removeu a cache com o ID 4, na data de: 29/5/2021
Removeu a cache com o ID 9, na data de: 29/5/2021
Foi removido o Aventureiro com id : 17 e com o nome : fabio, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
Removeu a cache com o ID 1, na data de: 29/5/2021
Foi removido o Aventureiro com id : 5 e com o nome : joao, na data de: 29/5/2021
Removeu a cache com o ID 5, na data de: 29/5/2021
Removeu a cache com o ID 2, na data de: 29/5/2021
